DATE,PLANT_NAME,MATERIAL_NAME,NET_QUANTITY_MT,TYPE,MODE_OF_TRANSPORT,CUSTOMER_NUMBER
2023/12/15,SINGAPORE-WAREHOUSE,MAT-0354,23.375,Inbound,,
2023/12/22,SINGAPORE-WAREHOUSE,MAT-0413,1.375,Inbound,,
2023/12/22,SINGAPORE-WAREHOUSE,MAT-0413,23.375,Inbound,,
2023/12/22,SINGAPORE-WAREHOUSE,MAT-0413,24.75,Inbound,,
2023/12/22,SINGAPORE-WAREHOUSE,MAT-0413,19.25,Inbound,,
2023/12/22,SINGAPORE-WAREHOUSE,MAT-0413,5.5,Inbound,,
2023/12/22,SINGAPORE-WAREHOUSE,MAT-0413,12.375,Inbound,,
2023/12/22,SINGAPORE-WAREHOUSE,MAT-0413,12.375,Inbound,,
2023/12/22,SINGAPORE-WAREHOUSE,MAT-0413,24.75,Inbound,,
2023/12/22,SINGAPORE-WAREHOUSE,MAT-0413,24.75,Inbound,,
2023/12/23,SINGAPORE-WAREHOUSE,MAT-0105,24.75,Inbound,,
2024/01/21,SINGAPORE-WAREHOUSE,MAT-0304,2.5,Inbound,,
2024/01/21,SINGAPORE-WAREHOUSE,MAT-0304,20.0,Inbound,,
2024/01/27,SINGAPORE-WAREHOUSE,MAT-0374,24.75,Inbound,,
2024/01/27,SINGAPORE-WAREHOUSE,MAT-0374,20.625,Inbound,,
2024/01/27,SINGAPORE-WAREHOUSE,MAT-0374,4.125,Inbound,,
2024/02/10,SINGAPORE-WAREHOUSE,MAT-0109,24.75,Inbound,,
2024/02/10,SINGAPORE-WAREHOUSE,MAT-0109,24.75,Inbound,,
2024/02/10,SINGAPORE-WAREHOUSE,MAT-0109,24.75,Inbound,,
2024/02/10,SINGAPORE-WAREHOUSE,MAT-0109,24.75,Inbound,,
2024/02/10,SINGAPORE-WAREHOUSE,MAT-0109,24.75,Inbound,,
2024/02/13,SINGAPORE-WAREHOUSE,MAT-0056,24.75,Inbound,,
2024/02/13,SINGAPORE-WAREHOUSE,MAT-0056,24.75,Inbound,,
2024/02/13,SINGAPORE-WAREHOUSE,MAT-0056,24.75,Inbound,,
2024/02/13,SINGAPORE-WAREHOUSE,MAT-0056,24.75,Inbound,,
2024/02/13,SINGAPORE-WAREHOUSE,MAT-0056,24.75,Inbound,,
2024/03/14,SINGAPORE-WAREHOUSE,MAT-0237,24.772,Inbound,,
2024/03/14,SINGAPORE-WAREHOUSE,MAT-0237,24.772,Inbound,,
2024/04/28,SINGAPORE-WAREHOUSE,MAT-0263,24.75,Inbound,,
2024/05/10,SINGAPORE-WAREHOUSE,MAT-0175,24.75,Inbound,,
2024/05/10,SINGAPORE-WAREHOUSE,MAT-0175,16.5,Inbound,,
2024/05/10,SINGAPORE-WAREHOUSE,MAT-0175,8.25,Inbound,,
2024/05/10,SINGAPORE-WAREHOUSE,MAT-0175,24.75,Inbound,,
2024/05/10,SINGAPORE-WAREHOUSE,MAT-0175,24.75,Inbound,,
2024/05/19,SINGAPORE-WAREHOUSE,MAT-0011,24.75,Inbound,,
2024/05/19,SINGAPORE-WAREHOUSE,MAT-0011,4.125,Inbound,,
2024/05/19,SINGAPORE-WAREHOUSE,MAT-0011,20.625,Inbound,,
2024/05/19,SINGAPORE-WAREHOUSE,MAT-0011,9.625,Inbound,,
2024/05/19,SINGAPORE-WAREHOUSE,MAT-0011,15.125,Inbound,,
2024/05/19,SINGAPORE-WAREHOUSE,MAT-0011,24.75,Inbound,,
2024/05/19,SINGAPORE-WAREHOUSE,MAT-0011,24.75,Inbound,,
2024/05/19,SINGAPORE-WAREHOUSE,MAT-0011,24.75,Inbound,,
2024/05/27,SINGAPORE-WAREHOUSE,MAT-0367,24.75,Inbound,,
2024/05/27,SINGAPORE-WAREHOUSE,MAT-0367,16.5,Inbound,,
2024/05/27,SINGAPORE-WAREHOUSE,MAT-0367,8.25,Inbound,,
2024/06/17,SINGAPORE-WAREHOUSE,MAT-0374,9.625,Inbound,,
2024/06/17,SINGAPORE-WAREHOUSE,MAT-0374,15.125,Inbound,,
2024/06/17,SINGAPORE-WAREHOUSE,MAT-0374,15.125,Inbound,,
2024/06/17,SINGAPORE-WAREHOUSE,MAT-0374,9.625,Inbound,,
2024/07/05,SINGAPORE-WAREHOUSE,MAT-0247,24.75,Inbound,,
2024/07/05,SINGAPORE-WAREHOUSE,MAT-0247,4.125,Inbound,,
2024/07/05,SINGAPORE-WAREHOUSE,MAT-0247,20.625,Inbound,,
2024/07/25,SINGAPORE-WAREHOUSE,MAT-0234,24.75,Inbound,,
2024/07/25,SINGAPORE-WAREHOUSE,MAT-0234,24.75,Inbound,,
2024/07/25,SINGAPORE-WAREHOUSE,MAT-0234,24.75,Inbound,,
2024/07/25,SINGAPORE-WAREHOUSE,MAT-0234,24.75,Inbound,,
2024/07/25,SINGAPORE-WAREHOUSE,MAT-0234,16.5,Inbound,,
2024/07/25,SINGAPORE-WAREHOUSE,MAT-0234,8.25,Inbound,,
2024/07/25,SINGAPORE-WAREHOUSE,MAT-0234,24.75,Inbound,,
2024/07/25,SINGAPORE-WAREHOUSE,MAT-0234,24.75,Inbound,,
2024/07/25,SINGAPORE-WAREHOUSE,MAT-0234,24.75,Inbound,,
2024/07/25,SINGAPORE-WAREHOUSE,MAT-0234,11.0,Inbound,,
2024/07/25,SINGAPORE-WAREHOUSE,MAT-0234,13.75,Inbound,,
2024/07/25,SINGAPORE-WAREHOUSE,MAT-0234,24.75,Inbound,,
2024/08/04,SINGAPORE-WAREHOUSE,MAT-0335,24.75,Inbound,,
2024/08/04,SINGAPORE-WAREHOUSE,MAT-0335,24.75,Inbound,,
2024/08/04,SINGAPORE-WAREHOUSE,MAT-0335,24.75,Inbound,,
2024/08/04,SINGAPORE-WAREHOUSE,MAT-0335,24.75,Inbound,,
2024/08/11,SINGAPORE-WAREHOUSE,MAT-0363,19.25,Inbound,,
2024/08/11,SINGAPORE-WAREHOUSE,MAT-0363,5.5,Inbound,,
2024/08/11,SINGAPORE-WAREHOUSE,MAT-0363,24.75,Inbound,,
2024/08/11,SINGAPORE-WAREHOUSE,MAT-0363,24.75,Inbound,,
2024/08/11,SINGAPORE-WAREHOUSE,MAT-0363,19.25,Inbound,,
2024/08/11,SINGAPORE-WAREHOUSE,MAT-0363,5.5,Inbound,,
2024/08/22,SINGAPORE-WAREHOUSE,MAT-0046,24.75,Inbound,,
2024/08/22,SINGAPORE-WAREHOUSE,MAT-0046,24.75,Inbound,,
2024/08/22,SINGAPORE-WAREHOUSE,MAT-0046,24.75,Inbound,,
2024/08/22,SINGAPORE-WAREHOUSE,MAT-0046,24.75,Inbound,,
2024/08/26,SINGAPORE-WAREHOUSE,MAT-0175,6.875,Inbound,,
2024/08/26,SINGAPORE-WAREHOUSE,MAT-0175,17.875,Inbound,,
2024/08/26,SINGAPORE-WAREHOUSE,MAT-0175,24.75,Inbound,,
2024/08/26,SINGAPORE-WAREHOUSE,MAT-0175,24.75,Inbound,,
