PLANT_NAME,MATERIAL_NAME,Month,UNRESRICTED_STOCK_KT,Inbound_KT,Outbound_KT,POLYMER_TYPE,SHELF_LIFE_IN_MONTH,DOWNGRADE_VALUE_LOST_PERCENT,Lag_Inv,Lag_Inb,Lag_Outb,Month_Number,Month_sin,Month_cos
CHINA-WAREHOUSE,MAT-0001,2024-01-01,2.225625,1.7085,1.40981,P-002,3,40,1.9275250000000002,0.0,0.0,1,0.49999999999999994,0.8660254037844387
CHINA-WAREHOUSE,MAT-0001,2024-02-01,1.843725,0.0,0.38187,P-002,3,40,2.225625,1.7085,1.40981,2,0.8660254037844386,0.5000000000000001
CHINA-WAREHOUSE,MAT-0001,2024-03-01,1.3933,0.7394999999999999,0.67979,P-002,3,40,1.843725,0.0,0.38187,3,1.0,6.123233995736766e-17
CHINA-WAREHOUSE,MAT-0001,2024-04-01,1.3285,0.255,0.8341,P-002,3,40,1.3933,0.7394999999999999,0.67979,4,0.8660254037844387,-0.49999999999999983
CHINA-WAREHOUSE,MAT-0001,2024-05-01,1.812525,1.3515,0.6122299999999999,P-002,3,40,1.3285,0.255,0.8341,5,0.49999999999999994,-0.8660254037844387
CHINA-WAREHOUSE,MAT-0001,2024-06-01,1.39635,0.0,0.67257,P-002,3,40,1.812525,1.3515,0.6122299999999999,6,1.2246467991473532e-16,-1.0
CHINA-WAREHOUSE,MAT-0001,2024-07-01,1.7754,1.4024999999999999,0.7857299999999999,P-002,3,40,1.39635,0.0,0.67257,7,-0.4999999999999998,-0.8660254037844388
CHINA-WAREHOUSE,MAT-0001,2024-08-01,1.888575,0.7649999999999999,0.63335,P-002,3,40,1.7754,1.4024999999999999,0.7857299999999999,8,-0.8660254037844384,-0.5000000000000004
CHINA-WAREHOUSE,MAT-0001,2024-09-01,1.675275,0.255,0.72314,P-002,3,40,1.888575,0.7649999999999999,0.63335,9,-1.0,-1.8369701987210297e-16
CHINA-WAREHOUSE,MAT-0001,2024-10-01,1.23875,0.102,0.5385,P-002,3,40,1.675275,0.255,0.72314,10,-0.8660254037844386,0.5000000000000001
CHINA-WAREHOUSE,MAT-0001,2024-11-01,0.5203249999999999,1.4024999999999999,0.84595,P-002,3,40,1.23875,0.102,0.5385,11,-0.5000000000000004,0.8660254037844384
CHINA-WAREHOUSE,MAT-0001,2024-12-01,1.09145,0.0,0.70339,P-002,3,40,0.5203249999999999,1.4024999999999999,0.84595,12,-2.4492935982947064e-16,1.0
CHINA-WAREHOUSE,MAT-0002,2024-01-01,0.001175,0.0,0.0,P-001,8,15,0.001175,0.0,0.0,1,0.49999999999999994,0.8660254037844387
CHINA-WAREHOUSE,MAT-0002,2024-02-01,0.001175,0.0,0.0,P-001,8,15,0.001175,0.0,0.0,2,0.8660254037844386,0.5000000000000001
CHINA-WAREHOUSE,MAT-0002,2024-03-01,0.001175,0.29700000000000004,0.0,P-001,8,15,0.001175,0.0,0.0,3,1.0,6.123233995736766e-17
CHINA-WAREHOUSE,MAT-0002,2024-04-01,0.149675,0.12375,0.0,P-001,8,15,0.001175,0.29700000000000004,0.0,4,0.8660254037844387,-0.49999999999999983
CHINA-WAREHOUSE,MAT-0002,2024-05-01,0.4219,0.0,0.0,P-001,8,15,0.149675,0.12375,0.0,5,0.49999999999999994,-0.8660254037844387
CHINA-WAREHOUSE,MAT-0002,2024-06-01,0.4219,0.0,0.0,P-001,8,15,0.4219,0.0,0.0,6,1.2246467991473532e-16,-1.0
CHINA-WAREHOUSE,MAT-0002,2024-07-01,0.4109,0.0,0.011,P-001,8,15,0.4219,0.0,0.0,7,-0.4999999999999998,-0.8660254037844388
CHINA-WAREHOUSE,MAT-0002,2024-08-01,0.3819,0.0,0.02901,P-001,8,15,0.4109,0.0,0.011,8,-0.8660254037844384,-0.5000000000000004
CHINA-WAREHOUSE,MAT-0002,2024-09-01,0.01065,0.0,0.37125,P-001,8,15,0.3819,0.0,0.02901,9,-1.0,-1.8369701987210297e-16
CHINA-WAREHOUSE,MAT-0002,2024-10-01,0.007875,0.0,0.00279,P-001,8,15,0.01065,0.0,0.37125,10,-0.8660254037844386,0.5000000000000001
CHINA-WAREHOUSE,MAT-0002,2024-11-01,0.007875,0.0,0.0,P-001,8,15,0.007875,0.0,0.00279,11,-0.5000000000000004,0.8660254037844384
CHINA-WAREHOUSE,MAT-0002,2024-12-01,0.004325,0.0,0.0035499999999999998,P-001,8,15,0.007875,0.0,0.0,12,-2.4492935982947064e-16,1.0
CHINA-WAREHOUSE,MAT-0003,2024-01-01,0.11254,0.0,0.0,P-004,2,35,0.11254,0.0,0.0,1,0.49999999999999994,0.8660254037844387
CHINA-WAREHOUSE,MAT-0003,2024-02-01,0.11254,0.0,0.0,P-004,2,35,0.11254,0.0,0.0,2,0.8660254037844386,0.5000000000000001
CHINA-WAREHOUSE,MAT-0003,2024-03-01,0.11254,0.0,0.0,P-004,2,35,0.11254,0.0,0.0,3,1.0,6.123233995736766e-17
CHINA-WAREHOUSE,MAT-0003,2024-04-01,0.039168,0.0,0.07337,P-004,2,35,0.11254,0.0,0.0,4,0.8660254037844387,-0.49999999999999983
CHINA-WAREHOUSE,MAT-0003,2024-05-01,0.039168,0.0,0.0,P-004,2,35,0.039168,0.0,0.07337,5,0.49999999999999994,-0.8660254037844387
CHINA-WAREHOUSE,MAT-0003,2024-06-01,0.039168,0.0,0.0,P-004,2,35,0.039168,0.0,0.0,6,1.2246467991473532e-16,-1.0
CHINA-WAREHOUSE,MAT-0003,2024-07-01,0.09792000000000001,0.058752,0.0,P-004,2,35,0.039168,0.0,0.0,7,-0.4999999999999998,-0.8660254037844388
CHINA-WAREHOUSE,MAT-0003,2024-08-01,0.09792000000000001,0.019584,0.0,P-004,2,35,0.09792000000000001,0.058752,0.0,8,-0.8660254037844384,-0.5000000000000004
CHINA-WAREHOUSE,MAT-0003,2024-09-01,0.117504,0.0,0.0,P-004,2,35,0.09792000000000001,0.019584,0.0,9,-1.0,-1.8369701987210297e-16
CHINA-WAREHOUSE,MAT-0003,2024-10-01,0.117504,0.0,0.0,P-004,2,35,0.117504,0.0,0.0,10,-0.8660254037844386,0.5000000000000001
CHINA-WAREHOUSE,MAT-0003,2024-11-01,0.117504,0.0,0.0,P-004,2,35,0.117504,0.0,0.0,11,-0.5000000000000004,0.8660254037844384
